CID,MolecularFormula,CanonicalSMILES,InChI,InChIKey,IUPACName,nm_unique
5610,C8H11NO,C1=CC(=CC=C1CCN)O,"InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2",DZGWFCGJZKJUFP-UHFFFAOYSA-N,4-(2-aminoethyl)phenol,4-(2-Aminoethyl)phenol
78479,C7H20N4,C(CNCCN)CNCCN,"InChI=1S/C7H20N4/c8-2-6-10-4-1-5-11-7-3-9/h10-11H,1-9H2",UWMHHZFHBCYGCV-UHFFFAOYSA-N,"N,N'-bis(2-aminoethyl)propane-1,3-diamine","N,N'-Bis(2-aminoethyl)propane-1,3-diamine"
19990,C10H28N6,C(CNCCNCCNCCNCCN)N,"InChI=1S/C10H28N6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h13-16H,1-12H2",LSHROXHEILXKHM-UHFFFAOYSA-N,"N'-[2-[2-[2-(2-aminoethylamino)ethylamino]ethylamino]ethyl]ethane-1,2-diamine","3,6,9,12-Tetraazatetradecane-1,14-diamine"
2794246,C9H15N,C1C2CC3CC1CC3(C2)N,"InChI=1S/C9H15N/c10-9-4-6-1-7(5-9)3-8(9)2-6/h6-8H,1-5,10H2",NGGRFWRIBLQVEP-UHFFFAOYSA-N,"tricyclo[3.3.1.03,7]nonan-3-amine","Tricyclo[3.3.1.03,7]nonan-3-amine"
25332,C10H17N,C1C2CC3CC1CC(C2)C3N,"InChI=1S/C10H17N/c11-10-8-2-6-1-7(4-8)5-9(10)3-6/h6-10H,1-5,11H2",QZWNXXINFABALM-UHFFFAOYSA-N,adamantan-2-amine,"Tricyclo[3.3.1.13,7]decan-2-amine"
750,C2H5NO2,C(C(=O)O)N,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",DHMQDGOQFOQNFH-UHFFFAOYSA-N,2-aminoacetic acid,Aminoacetic acid
75737,C10H13NO2,COC(=O)C(CC1=CC=CC=C1)N,"InChI=1S/C10H13NO2/c1-13-10(12)9(11)7-8-5-3-2-4-6-8/h2-6,9H,7,11H2,1H3",VSDUZFOSJDMAFZ-UHFFFAOYSA-N,methyl 2-amino-3-phenylpropanoate,Methyl 2-amino-3-phenylpropanoate
617,C3H7NO3,C(C(C(=O)O)N)O,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)",MTCFGRXMJLQNBG-UHFFFAOYSA-N,2-amino-3-hydroxypropanoic acid,2-Amino-3-hydroxypropanoic acid
205,C4H9NO3,CC(C(C(=O)O)N)O,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)",AYFVYJQAPQTCCC-UHFFFAOYSA-N,2-amino-3-hydroxybutanoic acid,2-Amino-3-hydroxybutanoic acid
1148,C11H12N2O2,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",QIVBCDIJIAJPQS-UHFFFAOYSA-N,2-amino-3-(1H-indol-3-yl)propanoic acid,2-Amino-3-(1H-indol-3-yl)propanoic acid
1182,C5H11NO2,CC(C)C(C(=O)O)N,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)",KZSNJWFQEVHDMF-UHFFFAOYSA-N,2-amino-3-methylbutanoic acid,2-Amino-3-methylbutanoic acid
866,C6H14N2O2,C(CCN)CC(C(=O)O)N,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)",KDXKERNSBIXSRK-UHFFFAOYSA-N,"2,6-diaminohexanoic acid","2,6-Diaminohexanoic acid"
587821,C8H8ClNO2,C1=CC(=CC=C1C(C(=O)O)N)Cl,"InChI=1S/C8H8ClNO2/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,7H,10H2,(H,11,12)",QGJGBYXRJVIYGA-UHFFFAOYSA-N,2-amino-2-(4-chlorophenyl)acetic acid,Amino(4-chlorophenyl)acetic acid
602,C3H7NO2,CC(C(=O)O)N,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)",QNAYBMKLOCPYGJ-UHFFFAOYSA-N,2-aminopropanoic acid,2-Aminopropanoic acid
232,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",ODKSFYDXXFIFQN-UHFFFAOYSA-N,2-amino-5-(diaminomethylideneamino)pentanoic acid,2-Amino-5-carbamimidamidopentanoic acid
424,C4H7NO4,C(C(C(=O)O)N)C(=O)O,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)",CKLJMWTZIZZHCS-UHFFFAOYSA-N,2-aminobutanedioic acid,2-Aminobutanedioic acid
