CID,MolecularFormula,IsomericSMILES,InChI,InChIKey,IUPACName,nm_unique
44152739,Ni,[60Ni],InChI=1S/Ni/i1+1,PXHVJJICTQNCMI-OUBTZVSYSA-N,nickel-60,Ni
44154720,Nd,[148Nd],InChI=1S/Nd/i1+4,QEFYFXOXNSNQGX-RNFDNDRNSA-N,neodymium-148,Nd
44154792,Ge,[72Ge],InChI=1S/Ge/i1-1,GNPVGFCGXDBREM-BJUDXGSMSA-N,germanium-72,Ge
44469407,La,[134La],InChI=1S/La/i1-5,FZLIPJUXYLNCLC-FTXFMUIASA-N,lanthanum-134,La
44602546,Gd,[152Gd],InChI=1S/Gd/i1-5,UIWYJDYFSGRHKR-FTXFMUIASA-N,gadolinium-152,Gd
46830028,Fe3O4+,[O-2].[O-2].[O-2].[O-2].[Fe+3].[Fe+3].[Fe+3],InChI=1S/3Fe.4O/q3*+3;4*-2,SDBUERHALQGYQV-UHFFFAOYSA-N,iron(3+);oxygen(2-),Fe3O4
46898734,CoFe2O4,[O-2].[O-2].[O-2].[O-2].[Fe+3].[Fe+3].[Co+2],InChI=1S/Co.2Fe.4O/q+2;2*+3;4*-2,MMOVVVBHLUGHGW-UHFFFAOYSA-N,cobalt(2+);iron(3+);oxygen(2-),CoFe2O4
46898737,Y+3,[86Y+3],InChI=1S/Y/q+3/i1-3,GRTBAGCGDOYUBE-OIOBTWANSA-N,yttrium-86(3+),Y
46907976,Sn+4,[117Sn+4],InChI=1S/Sn/q+4/i1-2,SYRHIZPPCHMRIT-YPZZEJLDSA-N,tin-117(4+),Sn
50912014,Pt+4,[195Pt+4],InChI=1S/Pt/q+4/i1+0,NDBYXKQCPYUOMI-IGMARMGPSA-N,platinum-195(4+),Pt
51352783,OTi+2,[O-2].[Ti+4],InChI=1S/O.Ti/q-2;+4,HCEIGVNAWPRQFB-UHFFFAOYSA-N,oxygen(2-);titanium(4+),TiO
51352785,Al2O4-2,[O-][Al]=O.[O-][Al]=O,InChI=1S/2Al.4O/q;;;;2*-1,RBHSDMJWWDJHTP-UHFFFAOYSA-N,oxido(oxo)alumane,Al2O4
53393468,Gd+3,[159Gd+3],InChI=1S/Gd/q+3/i1+2,RJOJUSXNYCILHH-NJFSPNSNSA-N,gadolinium-159(3+),Gd
54769705,Sn+4,[125Sn+4],InChI=1S/Sn/q+4/i1+6,SYRHIZPPCHMRIT-LZFNBGRKSA-N,tin-125(4+),Sn
56841929,CoFe2O4,[O-][Fe]=O.[O-][Fe]=O.[Co+2],InChI=1S/Co.2Fe.4O/q+2;;;;;2*-1,JAMSXWSAXCQXSE-UHFFFAOYSA-N,cobalt(2+);oxido(oxo)iron,CoFe2O4
56843737,O3Ti2+2,[O-2].[O-2].[O-2].[Ti+4].[Ti+4],InChI=1S/3O.2Ti/q3*-2;2*+4,QBNKFXYJSJOGEL-UHFFFAOYSA-N,oxygen(2-);titanium(4+),Ti2O3
